_id,id,genres,rating,release_date,runtime,source,summary,title,type
685682fc8482e0a7a0072702,tmdb_1289601,"Action, Drama, Thriller",7.077,2024-06-07,0,tmdb,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it.",Life After Fighting,movie
685682fc8482e0a7a0072703,tmdb_666154,"Adventure, Animation, Family",7.657,2025-01-02,0,tmdb,"A courageous and athletic teenager, Kayara dreams that she is destined to be the first female to break into the league of Chasquis - the official messengers of the Incan empire. As she learns what it takes to be a Chasqui along with its challenges, she tackles every mission she gets and discovers the ancient stories of her land and her people.",Kayara,movie
685682fc8482e0a7a0072704,tmdb_575265,"Action, Adventure, Thriller",7.2,2025-05-17,0,tmdb,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",Mission: Impossible - The Final Reckoning,movie
685682fc8482e0a7a0072705,tmdb_447273,"Family, Fantasy",4.283,2025-03-12,0,tmdb,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",Snow White,movie
685682fc8482e0a7a0072706,tmdb_10191,"Fantasy, Adventure, Animation, Family",7.845,2010-03-18,0,tmdb,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",How to Train Your Dragon,movie
685682fc8482e0a7a0072707,tmdb_757725,"Action, Drama, Thriller",6.418,2025-05-01,0,tmdb,"Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war.",Shadow Force,movie
685682fc8482e0a7a0072708,tmdb_986056,"Action, Science Fiction, Adventure",7.401,2025-04-30,0,tmdb,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",Thunderbolts*,movie
685682fc8482e0a7a0072709,tmdb_1241436,"War, Action",7.188,2025-04-09,0,tmdb,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",Warfare,movie
685682fc8482e0a7a007270a,tmdb_170,"Horror, Thriller, Science Fiction",7.239,2002-10-31,0,tmdb,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",28 Days Later,movie
685682fc8482e0a7a007270b,tmdb_82702,"Fantasy, Action, Adventure, Animation, Comedy, Family",7.675,2014-06-05,0,tmdb,"Five years have passed since Hiccup and Toothless united the dragons and Vikings of Berk. Now, they spend their time charting unmapped territories. During one of their adventures, the pair discover a secret cave that houses hundreds of wild dragons -- and a mysterious dragon rider. Hiccup and Toothless find themselves at the center of a battle to protect Berk from a power-hungry warrior.",How to Train Your Dragon 2,movie
